,Unnamed: 0,Unnamed: 0.1,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text,ZIP_CODE
12241,119182,164784,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008365,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.6,6.6,8.8,,,2979.0,"(32.9411060857, -117.144381431)",HLTHOUT,PHLTH,666000.0,6073008365.0,Physical Health,92129
12242,119183,164785,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008366,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.4,6.5,8.3,,,5881.0,"(32.9505356061, -117.154893407)",HLTHOUT,PHLTH,666000.0,6073008366.0,Physical Health,92129
12243,119184,164786,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008501,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.0,9.0,11.1,,,5271.0,"(32.8318457676, -117.223738219)",HLTHOUT,PHLTH,666000.0,6073008501.0,Physical Health,92117
12244,119185,164787,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008502,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,9.9,12.6,,,6241.0,"(32.8373058467, -117.206764894)",HLTHOUT,PHLTH,666000.0,6073008502.0,Physical Health,92117
12245,119186,164788,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008503,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.5,8.4,10.7,,,6599.0,"(32.8176578999, -117.213582002)",HLTHOUT,PHLTH,666000.0,6073008503.0,Physical Health,92117
12246,119187,164789,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008504,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.7,10.3,13.1,,,6021.0,"(32.8226370274, -117.195777095)",HLTHOUT,PHLTH,666000.0,6073008504.0,Physical Health,92117
12247,119188,164790,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008505,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,10.2,12.3,,,5605.0,"(32.840297516, -117.18502396)",HLTHOUT,PHLTH,666000.0,6073008505.0,Physical Health,92117
12248,119189,164791,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008506,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.8,9.6,12.0,,,4042.0,"(32.8302337696, -117.186777622)",HLTHOUT,PHLTH,666000.0,6073008506.0,Physical Health,92117
12249,119190,164792,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008507,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.6,9.6,11.7,,,7627.0,"(32.8262504591, -117.173780148)",HLTHOUT,PHLTH,666000.0,6073008507.0,Physical Health,92117
12250,119191,164793,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008509,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.8,9.9,11.8,,,6647.0,"(32.8149643278, -117.171815827)",HLTHOUT,PHLTH,666000.0,6073008509.0,Physical Health,92111
12251,119192,164794,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008510,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.7,10.8,12.8,,,6626.0,"(32.8083089455, -117.162909181)",HLTHOUT,PHLTH,666000.0,6073008510.0,Physical Health,92111
12252,119193,164795,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008511,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.9,8.3,9.6,,,2633.0,"(32.8259957699, -117.14157939)",HLTHOUT,PHLTH,666000.0,6073008511.0,Physical Health,92123
12253,119194,164796,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008512,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.6,9.4,11.9,,,4193.0,"(32.8093225062, -117.188148832)",HLTHOUT,PHLTH,666000.0,6073008512.0,Physical Health,92111
12254,119195,164797,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008513,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.4,8.3,10.5,,,2691.0,"(32.8034145438, -117.181099157)",HLTHOUT,PHLTH,666000.0,6073008513.0,Physical Health,92111
12255,119196,164798,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008600,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.8,14.6,17.0,,,6864.0,"(32.7908268756, -117.177939694)",HLTHOUT,PHLTH,666000.0,6073008600.0,Physical Health,92111
12256,119197,164799,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008701,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.5,7.7,9.2,,,3361.0,"(32.7980374108, -117.16388307)",HLTHOUT,PHLTH,666000.0,6073008701.0,Physical Health,92111
12257,119198,164800,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008702,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.0,9.1,11.0,,,5206.0,"(32.7883574982, -117.155884589)",HLTHOUT,PHLTH,666000.0,6073008702.0,Physical Health,92123
12258,119199,164801,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008800,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.5,12.4,14.5,,,6188.0,"(32.782476438, -117.165352943)",HLTHOUT,PHLTH,666000.0,6073008800.0,Physical Health,92111
12259,119200,164802,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008901,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.3,9.5,11.2,,,4805.0,"(32.7726385369, -117.172759246)",HLTHOUT,PHLTH,666000.0,6073008901.0,Physical Health,92111
12260,119201,164803,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073008902,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.4,7.7,9.1,,,2221.0,"(32.7629569513, -117.178701006)",HLTHOUT,PHLTH,666000.0,6073008902.0,Physical Health,92108
12261,119202,164804,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009000,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.9,12.7,15.2,,,3861.0,"(32.7782882713, -117.178827888)",HLTHOUT,PHLTH,666000.0,6073009000.0,Physical Health,92111
12262,119203,164805,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009101,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.4,8.2,10.6,,,5318.0,"(32.8001982008, -117.203952076)",HLTHOUT,PHLTH,666000.0,6073009101.0,Physical Health,92117
12263,119204,164806,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009102,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,10.2,12.3,,,3537.0,"(32.8035300037, -117.195533715)",HLTHOUT,PHLTH,666000.0,6073009102.0,Physical Health,92117
12264,119205,164807,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009103,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.7,8.7,10.8,,,3679.0,"(32.7878016743, -117.195641923)",HLTHOUT,PHLTH,666000.0,6073009103.0,Physical Health,92110
12265,119206,164808,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009104,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.3,9.7,12.9,,,2775.0,"(32.7798719548, -117.195938237)",HLTHOUT,PHLTH,666000.0,6073009104.0,Physical Health,92110
12266,119207,164809,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009106,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.8,7.0,8.5,,,3882.0,"(32.7712923755, -117.198251577)",HLTHOUT,PHLTH,666000.0,6073009106.0,Physical Health,92110
12267,119208,164810,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009107,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.8,8.2,9.5,,,3688.0,"(32.7677268579, -117.188523609)",HLTHOUT,PHLTH,666000.0,6073009107.0,Physical Health,92110
12268,119209,164811,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009201,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.8,9.1,10.5,,,5014.0,"(32.8015390575, -117.146337989)",HLTHOUT,PHLTH,666000.0,6073009201.0,Physical Health,92123
12269,119210,164812,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009202,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.0,8.2,9.9,,,4428.0,"(32.786036743, -117.142883883)",HLTHOUT,PHLTH,666000.0,6073009202.0,Physical Health,92123
12270,119211,164813,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009301,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.9,9.0,10.8,,,4164.0,"(32.801557713, -117.134257276)",HLTHOUT,PHLTH,666000.0,6073009301.0,Physical Health,92123
12271,119212,164814,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009304,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.0,6.3,7.7,,,7944.0,"(32.7742535141, -117.137454999)",HLTHOUT,PHLTH,666000.0,6073009304.0,Physical Health,92108
12272,119213,164815,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009305,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.2,7.6,8.9,,,4488.0,"(32.79120908, -117.127810273)",HLTHOUT,PHLTH,666000.0,6073009305.0,Physical Health,92123
12273,119214,164816,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009306,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.9,8.2,9.7,,,5589.0,"(32.7997479064, -117.119752805)",HLTHOUT,PHLTH,666000.0,6073009306.0,Physical Health,92123
12274,119215,164817,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009400,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.0,4.9,6.6,,,5028.0,"(32.8668825992, -117.117923022)",HLTHOUT,PHLTH,666000.0,6073009400.0,Physical Health,92145
12275,119216,164818,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009502,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.0,8.1,10.1,,,3659.0,"(32.8336424339, -117.110205173)",HLTHOUT,PHLTH,666000.0,6073009502.0,Physical Health,92124
12276,119217,164819,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009504,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.7,6.8,8.8,,,5914.0,"(32.8976617981, -117.030417551)",HLTHOUT,PHLTH,666000.0,6073009504.0,Physical Health,92131
12277,119218,164820,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009505,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.5,7.5,9.7,,,6442.0,"(32.8373583946, -117.061480593)",HLTHOUT,PHLTH,666000.0,6073009505.0,Physical Health,92119
12278,119219,164821,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009506,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.0,8.0,10.2,,,4258.0,"(32.8247351393, -117.092472879)",HLTHOUT,PHLTH,666000.0,6073009506.0,Physical Health,92124
12279,119220,164822,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009507,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.5,7.8,9.4,,,3369.0,"(32.8174840426, -117.075273003)",HLTHOUT,PHLTH,666000.0,6073009507.0,Physical Health,92124
12280,119221,164823,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009509,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.9,6.3,7.6,,,4136.0,"(32.8056660962, -117.096660761)",HLTHOUT,PHLTH,666000.0,6073009509.0,Physical Health,92124
12281,119222,164824,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009510,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.1,8.7,,,5087.0,"(32.8171162453, -117.109306997)",HLTHOUT,PHLTH,666000.0,6073009510.0,Physical Health,92124
12282,119223,164825,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009511,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.2,8.2,10.2,,,4427.0,"(32.8036916873, -117.108575907)",HLTHOUT,PHLTH,666000.0,6073009511.0,Physical Health,92124
12283,119224,164826,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009602,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.8,8.7,10.9,,,3775.0,"(32.798722584, -117.084634537)",HLTHOUT,PHLTH,666000.0,6073009602.0,Physical Health,92120
12284,119225,164827,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009603,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.1,7.3,9.0,,,4533.0,"(32.7846879078, -117.106046211)",HLTHOUT,PHLTH,666000.0,6073009603.0,Physical Health,92108
12285,119226,164828,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009604,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.5,9.5,11.7,,,3179.0,"(32.7867685427, -117.09172597)",HLTHOUT,PHLTH,666000.0,6073009604.0,Physical Health,92120
12286,119227,164829,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009703,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.7,9.5,11.9,,,3446.0,"(32.7955860736, -117.073608921)",HLTHOUT,PHLTH,666000.0,6073009703.0,Physical Health,92120
12287,119228,164830,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009704,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.9,7.9,9.9,,,5750.0,"(32.8068307464, -117.060719291)",HLTHOUT,PHLTH,666000.0,6073009704.0,Physical Health,92120
12288,119229,164831,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009705,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.0,8.9,11.3,,,3652.0,"(32.7849699865, -117.073372873)",HLTHOUT,PHLTH,666000.0,6073009705.0,Physical Health,92120
12289,119230,164832,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009706,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.6,8.7,10.7,,,6996.0,"(32.7899696913, -117.050505302)",HLTHOUT,PHLTH,666000.0,6073009706.0,Physical Health,92120
12290,119231,164833,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009801,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.5,9.5,11.8,,,4894.0,"(32.7984505488, -117.030735102)",HLTHOUT,PHLTH,666000.0,6073009801.0,Physical Health,92119
12291,119232,164834,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009802,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.4,9.4,11.4,,,6101.0,"(32.7968558161, -117.014084081)",HLTHOUT,PHLTH,666000.0,6073009802.0,Physical Health,92119
12292,119233,164835,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009804,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.5,8.5,10.8,,,4773.0,"(32.8085467985, -117.013447151)",HLTHOUT,PHLTH,666000.0,6073009804.0,Physical Health,92119
12293,119234,164836,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009805,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.0,9.1,11.0,,,4715.0,"(32.8156079186, -117.034355272)",HLTHOUT,PHLTH,666000.0,6073009805.0,Physical Health,92119
12294,119235,164837,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009901,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.2,3.4,4.7,,,626.0,"(32.688672486, -117.245739866)",HLTHOUT,PHLTH,666000.0,6073009901.0,Physical Health,92106
12295,119236,164838,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073009902,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,2.0,"(32.6999188362, -117.189912517)",HLTHOUT,PHLTH,666000.0,6073009902.0,Physical Health,92118
12296,119237,164839,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010001,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.6,10.5,12.6,,,4097.0,"(32.5867029487, -117.055421812)",HLTHOUT,PHLTH,666000.0,6073010001.0,Physical Health,92154
12297,119238,164840,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010003,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.6,12.5,14.7,,,5906.0,"(32.5788424652, -117.044093524)",HLTHOUT,PHLTH,666000.0,6073010003.0,Physical Health,92154
12298,119239,164841,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010004,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.6,14.2,17.0,,,4679.0,"(32.5709004829, -117.052300802)",HLTHOUT,PHLTH,666000.0,6073010004.0,Physical Health,92154
12299,119240,164842,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010005,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.1,17.0,21.4,,,7366.0,"(32.5641526553, -117.04961598)",HLTHOUT,PHLTH,666000.0,6073010005.0,Physical Health,92173
12300,119241,164843,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010009,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.0,14.1,17.8,,,6693.0,"(32.5467405789, -117.052742517)",HLTHOUT,PHLTH,666000.0,6073010009.0,Physical Health,92173
12301,119242,164844,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010010,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.8,14.3,17.3,,,5510.0,"(32.5783698075, -117.063696548)",HLTHOUT,PHLTH,666000.0,6073010010.0,Physical Health,92154
12302,119243,164845,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010011,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.2,13.1,15.3,,,3633.0,"(32.57951473, -117.054779703)",HLTHOUT,PHLTH,666000.0,6073010011.0,Physical Health,92154
12303,119244,164846,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010012,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.8,14.7,18.8,,,4581.0,"(32.5607791206, -117.058499483)",HLTHOUT,PHLTH,666000.0,6073010012.0,Physical Health,92173
12304,119245,164847,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010013,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,21.9,19.6,24.3,,,5484.0,"(32.5555516995, -117.04745518)",HLTHOUT,PHLTH,666000.0,6073010013.0,Physical Health,92173
12305,119246,164848,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010014,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.5,9.5,11.6,,,13017.0,"(32.5768625072, -116.998314621)",HLTHOUT,PHLTH,666000.0,6073010014.0,Physical Health,92154
12306,119247,164849,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010015,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.3,10.4,12.4,,,2796.0,"(32.5569999115, -116.989847698)",HLTHOUT,PHLTH,666000.0,6073010015.0,Physical Health,92154
12307,119248,164850,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010103,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.8,14.3,17.4,,,5437.0,"(32.5920054803, -117.100532977)",HLTHOUT,PHLTH,666000.0,6073010103.0,Physical Health,91932
12308,119249,164851,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010104,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.1,11.3,13.1,,,3217.0,"(32.5673603838, -117.097032119)",HLTHOUT,PHLTH,666000.0,6073010104.0,Physical Health,92154
12309,119250,164852,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010106,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.4,15.8,18.9,,,5200.0,"(32.5717846018, -117.072317834)",HLTHOUT,PHLTH,666000.0,6073010106.0,Physical Health,92154
12310,119251,164853,2014,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073010107,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.2,11.9,14.5,,,6498.0,"(32.5836830348, -117.078744886)",HLTHOUT,PHLTH,666000.0,6073010107.0,Physical Health,92154
